ICD-10 code	ICD-10 code description	ICD-10 group	Ideation or action	Past or present 
T40.0X2A	Poisoning by opium, intentional self-harm, initial encounter	self_harm	action	present
T40.0X2D	Poisoning by opium, intentional self-harm, subsequent encounter	self_harm	action	past
T40.0X2D	Poisoning by opium, intentional self-harm, subsequent encounter	self_harm	action	present
T40.0X2S	Poisoning by opium, intentional self-harm, sequela	self_harm	action	past
T40.0X2S	Poisoning by opium, intentional self-harm, sequela	self_harm	action	present
T40.1X2	Poisoning by heroin, intentional self-harm	self_harm	action	present
T40.1X2A	Poisoning by heroin, intentional self-harm, initial encounter	self_harm	action	present
T40.1X2D	Poisoning by heroin, intentional self-harm, subsequent encounter	self_harm	action	past
T40.1X2D	Poisoning by heroin, intentional self-harm, subsequent encounter	self_harm	action	present
T40.1X2S	Poisoning by heroin, intentional self-harm, sequela	self_harm	action	past
T40.1X2S	Poisoning by heroin, intentional self-harm, sequela	self_harm	action	present
T40.2X2	Poisoning by other opioids, intentional self-harm	self_harm	action	present
T40.2X2A	Poisoning by other opioids, intentional self-harm, initial encounter	self_harm	action	present
T40.2X2D	Poisoning by other opioids, intentional self-harm, subsequent encounter	self_harm	action	past
T40.2X2D	Poisoning by other opioids, intentional self-harm, subsequent encounter	self_harm	action	present
T40.2X2S	Poisoning by other opioids, intentional self-harm, sequela	self_harm	action	past
T40.2X2S	Poisoning by other opioids, intentional self-harm, sequela	self_harm	action	present
T40.3X2	Poisoning by methadone, intentional self-harm	self_harm	action	present
T40.3X2A	Poisoning by methadone, intentional self-harm, initial encounter	self_harm	action	present
T40.3X2D	Poisoning by methadone, intentional self-harm, subsequent encounter	self_harm	action	past
T40.3X2D	Poisoning by methadone, intentional self-harm, subsequent encounter	self_harm	action	present
T40.3X2S	Poisoning by methadone, intentional self-harm, sequela	self_harm	action	past
T40.3X2S	Poisoning by methadone, intentional self-harm, sequela	self_harm	action	present
T40.5X2	Poisoning by cocaine, intentional self-harm	self_harm	action	present
T40.5X2A	Poisoning by cocaine, intentional self-harm, initial encounter	self_harm	action	present
T40.5X2D	Poisoning by cocaine, intentional self-harm, subsequent encounter	self_harm	action	past
T40.5X2D	Poisoning by cocaine, intentional self-harm, subsequent encounter	self_harm	action	present
T40.5X2S	Poisoning by cocaine, intentional self-harm, sequela	self_harm	action	past
T40.5X2S	Poisoning by cocaine, intentional self-harm, sequela	self_harm	action	present
T40.602	Poisoning by unspecifiedecified narcotics, intentional self-harm	self_harm	action	present
T40.602A	Poisoning by unspecified narcotics, intentional self-harm, initial	self_harm	action	present
T40.602D	Poisoning by unspecified narcotics, intentional self-harm, subsequent	self_harm	action	past
T40.602D	Poisoning by unspecified narcotics, intentional self-harm, subsequent	self_harm	action	present
T40.602S	Poisoning by unspecified narcotics, intentional self-harm, sequela	self_harm	action	past
T40.602S	Poisoning by unspecified narcotics, intentional self-harm, sequela	self_harm	action	present
T40.692	Poisoning by other narcotics, intentional self-harm	self_harm	action	present
T40.692A	Poisoning by other narcotics, intentional self-harm, initial	self_harm	action	present
T40.692D	Poisoning by other narcotics, intentional self-harm, subsequent	self_harm	action	past
T40.692D	Poisoning by other narcotics, intentional self-harm, subsequent	self_harm	action	present
T40.692S	Poisoning by other narcotics, intentional self-harm, sequela	self_harm	action	past
T40.692S	Poisoning by other narcotics, intentional self-harm, sequela	self_harm	action	present
T40.8X2	Poisoning by lysergide [LSD], intentional self-harm	self_harm	action	present
T40.8X2A	Poisoning by lysergide, intentional self-harm, initial encounter	self_harm	action	present
T40.8X2D	Poisoning by lysergide, intentional self-harm, subsequent encounter	self_harm	action	past
T40.8X2D	Poisoning by lysergide, intentional self-harm, subsequent encounter	self_harm	action	present
T40.8X2S	Poisoning by lysergide [LSD], intentional self-harm, sequela	self_harm	action	past
T40.8X2S	Poisoning by lysergide [LSD], intentional self-harm, sequela	self_harm	action	present
T40.902	Poisoning by unspecified psychodysleptics, intentional self-harm	self_harm	action	present
T40.902A	Poisoning by unspecified psychodysleptics, self-harm, initial	self_harm	action	present
T40.902D	Poisoning by unspecified psychodysleptics, self-harm, subsequent	self_harm	action	past
T40.902D	Poisoning by unspecified psychodysleptics, self-harm, subsequent	self_harm	action	present
T40.902S	Poisoning by unspecified psychodysleptics, self-harm, sequela	self_harm	action	past
T40.902S	Poisoning by unspecified psychodysleptics, self-harm, sequela	self_harm	action	present
T40.992	Poisoning by other psychodysleptics, intentional self-harm	self_harm	action	present
T40.992A	Poisoning by other psychodysleptics, self-harm, initial	self_harm	action	present
T40.992D	Poisoning by other psychodysleptics, self-harm, subsequent	self_harm	action	past
T40.992D	Poisoning by other psychodysleptics, self-harm, subsequent	self_harm	action	present
T40.992S	Poisoning by other psychodysleptics, self-harm, sequela	self_harm	action	past
T40.992S	Poisoning by other psychodysleptics, self-harm, sequela	self_harm	action	present
T41.0X2	Poisoning by inhaled anesthetics, intentional self-harm	self_harm	action	present
T41.0X2A	Poisoning by inhaled anesthetics, self-harm, initial	self_harm	action	present
T41.0X2D	Poisoning by inhaled anesthetics, self-harm, subsequent	self_harm	action	past
T41.0X2D	Poisoning by inhaled anesthetics, self-harm, subsequent	self_harm	action	present
T41.0X2S	Poisoning by inhaled anesthetics, self-harm, sequela	self_harm	action	past
T41.0X2S	Poisoning by inhaled anesthetics, self-harm, sequela	self_harm	action	present
T41.1X2	Poisoning by intravenous anesthetics, intentional self-harm	self_harm	action	present
T41.1X2A	Poisoning by intravenous anesthetics, self-harm, initial	self_harm	action	present
T41.1X2D	Poisoning by intravenous anesthetics, self-harm, subsequent	self_harm	action	past
T41.1X2D	Poisoning by intravenous anesthetics, self-harm, subsequent	self_harm	action	present
T41.1X2S	Poisoning by intravenous anesthetics, self-harm, sequela	self_harm	action	past
T41.1X2S	Poisoning by intravenous anesthetics, self-harm, sequela	self_harm	action	present
T41.202	Poisoning by unspecified general anesthetics, intentional self-harm	self_harm	action	present
T41.202A	Poisoning by unspecified general anesthetics, self-harm, initial	self_harm	action	present
T41.202D	Poisoning by unspecified general anesthetics, self-harm, subsequent	self_harm	action	past
T41.202D	Poisoning by unspecified general anesthetics, self-harm, subsequent	self_harm	action	present
T41.202S	Poisoning by unspecified general anesthetics, self-harm, sequela	self_harm	action	past
T41.202S	Poisoning by unspecified general anesthetics, self-harm, sequela	self_harm	action	present
T41.292	Poisoning by other general anesthetics, intentional self-harm	self_harm	action	present
T41.292A	Poisoning by other general anesthetics, self-harm, initial	self_harm	action	present
T41.292D	Poisoning by other general anesthetics, self-harm, subsequent	self_harm	action	past
T41.292D	Poisoning by other general anesthetics, self-harm, subsequent	self_harm	action	present
T41.292S	Poisoning by other general anesthetics, self-harm, sequela	self_harm	action	past
T41.292S	Poisoning by other general anesthetics, self-harm, sequela	self_harm	action	present
T41.3X2	Poisoning by local anesthetics, intentional self-harm	self_harm	action	present
